fy,fund,agency,source,interfund_trans,from_fund,source_name,receipts,data_source,fund_name,agency_name,fund_cat,fund_cat_name.x,fund_ab,fund_ioc,fund_re,a_end,in_ff,fund_name_ab,fund_category,fund_cat_name.y,in_ff_rev,in_ff_exp,source_name_AWM,rev_type,rev_type_name,amnesty,local,type_assigned
1998,280,579,1,0,.,ADMISSION TAX,925665,rev IOC 13.08.02,NA,NA,NA,NA,280,280,0,NA,0,IL RACING BOARD GRANT,I,State Trust Funds,0,0,ADMISSION TAX,78,.,NA,NA,NA
1999,280,579,1,0,.,ADMISSION TAX,867212,rev_IOC 13.08.02,NA,NA,NA,NA,280,280,0,NA,0,IL RACING BOARD GRANT,I,State Trust Funds,0,0,ADMISSION TAX,78,.,NA,NA,NA
2000,280,579,1,0,.,ADMISSION TAX,826728,rev IOC 13.08.02,NA,NA,NA,NA,280,280,0,NA,0,IL RACING BOARD GRANT,I,State Trust Funds,0,0,ADMISSION TAX,78,.,NA,NA,NA
2001,280,579,1,0,.,ADMISSION TAX,686884,rev IOC 13.08.02,NA,NA,NA,NA,280,280,0,NA,0,IL RACING BOARD GRANT,I,State Trust Funds,0,0,ADMISSION TAX,78,.,NA,NA,NA
2002,280,579,1,0,.,ADMISSION TAX,717298,rev IOC 13.08.02,NA,NA,NA,NA,280,280,0,NA,0,IL RACING BOARD GRANT,I,State Trust Funds,0,0,ADMISSION TAX,78,.,NA,NA,NA
2003,280,579,1,0,.,ADMISSION TAX,625734,rev IOC 13.08.02,NA,NA,NA,NA,280,280,0,NA,0,IL RACING BOARD GRANT,I,State Trust Funds,0,0,ADMISSION TAX,78,.,NA,NA,NA
2004,280,492,1,0,.,ADMISSION TAX,588621,rev IOC 13.08.02,NA,NA,NA,NA,280,280,0,NA,0,IL RACING BOARD GRANT,I,State Trust Funds,0,0,ADMISSION TAX,78,.,NA,NA,NA
2005,280,492,1,0,.,ADMISSION TAX,504061,rev IOC 13.08.02,NA,NA,NA,NA,280,280,0,NA,0,IL RACING BOARD GRANT,I,State Trust Funds,0,0,ADMISSION TAX,78,.,NA,NA,NA
2006,280,492,1,0,.,ADMISSION TAX,455858.65,rev IOC 13.08.02,NA,NA,NA,NA,280,280,0,NA,0,IL RACING BOARD GRANT,I,State Trust Funds,0,0,ADMISSION TAX,78,.,NA,NA,NA
2007,280,492,1,0,9999,ADMISSION TAX,620425.95,rev IOC 13.08.02,NA,NA,NA,NA,280,280,0,NA,0,IL RACING BOARD GRANT,I,State Trust Funds,0,0,ADMISSION TAX,78,.,NA,NA,NA
2008,280,492,1,0,9999,ADMISSION TAX,954420,rev IOC 13.08.02,NA,NA,NA,NA,280,280,0,NA,0,IL RACING BOARD GRANT,I,State Trust Funds,0,0,ADMISSION TAX,78,.,NA,NA,NA
2009,280,492,1,0,9999,ADMISSION TAX,837250.5,rev IOC 13.08.02,NA,NA,NA,NA,280,280,0,NA,0,IL RACING BOARD GRANT,I,State Trust Funds,0,0,ADMISSION TAX,78,.,NA,NA,NA
2010,280,579,1,0,9999,ADMISSION TAX,580875,rev IOC 13.08.02,NA,NA,NA,NA,280,280,0,NA,0,IL RACING BOARD GRANT,I,State Trust Funds,0,0,ADMISSION TAX,78,.,NA,NA,NA
2011,280,579,1,0,9999,ADMISSION TAX,428787.5,rev IOC 13.08.02,NA,NA,NA,NA,280,280,0,NA,0,IL RACING BOARD GRANT,I,State Trust Funds,0,0,ADMISSION TAX,78,.,NA,NA,NA
2012,280,579,1,0,9999,ADMISSION TAX,352562,rev IOC 13.08.02,NA,NA,NA,NA,280,280,0,NA,0,IL RACING BOARD GRANT,I,State Trust Funds,0,0,ADMISSION TAX,78,.,NA,NA,NA
2013,280,579,1,0,9999,ADMISSION TAX,15474.57,rev IOC 13.08.02,NA,NA,NA,NA,280,280,0,NA,0,IL RACING BOARD GRANT,I,State Trust Funds,0,0,ADMISSION TAX,78,.,NA,NA,NA
1998,1,579,2,0,.,ADMIS TAX-HARNESS RACING,175327.09,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,ADMIS TAX-RACETRACKS,78,.,NA,NA,NA
1999,1,579,2,0,.,ADMIS TAX-HARNESS RACING,131004.83,rev_IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,ADMIS TAX-RACETRACKS,78,.,NA,NA,NA
2000,1,579,2,0,.,ADMIS TAX-HARNESS RACING,139967.99,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,ADMIS TAX-RACETRACKS,78,.,NA,NA,NA
2001,1,579,2,0,.,ADMIS TAX-HARNESS RACING,137817.81,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,ADMIS TAX-RACETRACKS,78,.,NA,NA,NA
2002,1,579,2,0,.,ADMIS TAX-HARNESS RACING,129887.68,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,ADMIS TAX-RACETRACKS,78,.,NA,NA,NA
2003,1,579,2,0,.,ADMIS TAX-HARNESS RACING,127406.35,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,ADMIS TAX-RACETRACKS,78,.,NA,NA,NA
2004,1,492,2,0,.,ADMIS TAX-HARNESS RACING,125585.85,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,ADMIS TAX-RACETRACKS,78,.,NA,NA,NA
2005,1,492,2,0,.,ADMIS TAX-HARNESS RACING,119899.65,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,ADMIS TAX-RACETRACKS,78,.,NA,NA,NA
2006,1,492,2,0,.,ADMIS TAX-HARNESS RACING,102802.45,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,ADMIS TAX-RACETRACKS,78,.,NA,NA,NA
2007,1,492,2,0,9999,ADMIS TAX-HARNESS RACING,89044.7,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,ADMIS TAX-RACETRACKS,78,.,NA,NA,NA
2008,1,492,2,0,9999,ADMIS TAX-HARNESS RACING,81456.7,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,ADMIS TAX-RACETRACKS,78,.,NA,NA,NA
2009,1,492,2,0,9999,ADMIS TAX-HARNESS RACING,88316.55,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,ADMIS TAX-RACETRACKS,78,.,NA,NA,NA
2010,1,579,2,0,9999,ADMIS TAX-HARNESS RACING,85768.7,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,ADMIS TAX-RACETRACKS,78,.,NA,NA,NA
2011,1,579,2,0,9999,ADMIS TAX-HARNESS RACING,76513.35,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,ADMIS TAX-RACETRACKS,78,.,NA,NA,NA
2012,1,579,2,0,9999,ADMIS TAX-RACETRACKS,78226.5,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,ADMIS TAX-RACETRACKS,78,.,NA,NA,NA
2013,1,579,2,0,9999,ADMIS TAX-RACETRACKS,27986.25,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,ADMIS TAX-RACETRACKS,78,.,NA,NA,NA
2013,632,579,2,0,9999,ADMIS TAX-RACETRACKS,52538.25,rev IOC 13.08.02,NA,NA,NA,NA,632,632,0,NA,1,HORSE RACING,D,Special State Funds,1,1,ADMIS TAX-RACETRACKS,78,.,NA,NA,NA
2014,632,579,2,0,9999,ADMIS TAX-RACETRACKS,81261.45,rev IOC 15.09.28,HORSE RACING,RACING BOARD,NA,NA,632,632,0,NA,1,HORSE RACING,D,Special State Funds,1,1,ADMIS TAX-RACETRACKS,78,.,NA,NA,NA
2015,632,579,2,0,9999,ADMIS TAX-RACETRACKS,64131.45,rev ioc 16.01.07,HORSE RACING,RACING BOARD,NA,NA,632,632,0,NA,1,HORSE RACING,D,Special State Funds,1,1,ADMIS TAX-RACETRACKS,78,.,NA,NA,NA
2016,632,579,2,0,9999,ADMIS TAX-RACETRACKS,73480.05,rev ioc 16.08.04,HORSE RACING,RACING BOARD,NA,NA,632,632,0,NA,1,HORSE RACING,D,Special State Funds,1,1,ADMIS TAX-RACETRACKS,78,.,NA,NA,NA
2017,632,579,2,0,9999,ADMIS TAX-RACETRACKS,67610.1,rev ioc 17.11.29,HORSE RACING,RACING BOARD,NA,NA,632,632,0,NA,1,HORSE RACING,D,Special State Funds,1,1,ADMIS TAX-RACETRACKS,78,.,NA,NA,NA
2018,632,579,2,0,9999,ADMIS TAX-RACETRACKS,65303.29,NA,HORSE RACING,RACING BOARD,NA,NA,632,632,0,NA,1,HORSE RACING,D,Special State Funds,1,1,ADMIS TAX-RACETRACKS,78,.,NA,NA,NA
2019,632,579,2,0,9999,ADMIS TAX-RACETRACKS,51366.45,rev ioc 12.11.2019,HORSE RACING,RACING BOARD,NA,NA,632,632,0,NA,1,HORSE RACING,D,Special State Funds,1,1,ADMIS TAX-RACETRACKS,78,.,NA,NA,NA
2020,632,579,2,0,9999,ADMIS TAX-RACETRACKS,47895.25,rev ioc 03.11.2020,HORSE RACING,RACING BOARD,NA,NA,632,632,0,NA,1,HORSE RACING,D,Special State Funds,1,1,ADMIS TAX-RACETRACKS,78,.,NA,NA,NA
2021,632,579,2,NA,NA,ADMIS TAX-RACETRACKS,10090.5,NA,HORSE RACING,RACING BOARD,D,SPECIAL STATE FUNDS,632,632,0,NA,1,HORSE RACING,D,Special State Funds,1,1,ADMIS TAX-RACETRACKS,78,.,NA,NA,NA
2022,632,579,2,NA,NA,ADMIS TAX-RACETRACKS,66845.85,NA,HORSE RACING,RACING BOARD,NA,NA,632,632,0,NA,1,HORSE RACING,D,Special State Funds,1,1,ADMIS TAX-RACETRACKS,78,.,NA,NA,NA
1998,129,492,3,0,.,ADMIS TAX BOAT & GAMBLING,49278616,rev IOC 13.08.02,NA,NA,NA,NA,129,129,0,NA,1,STATE GAMING,D,Special State Funds,1,1,ADMIS TAX BOAT & GAMBLING,78,.,NA,NA,NA
1999,129,492,3,0,.,ADMIS TAX BOAT & GAMBLING,51207848,rev_IOC 13.08.02,NA,NA,NA,NA,129,129,0,NA,1,STATE GAMING,D,Special State Funds,1,1,ADMIS TAX BOAT & GAMBLING,78,.,NA,NA,NA
2000,129,492,3,0,.,ADMIS TAX BOAT & GAMBLING,38244996,rev IOC 13.08.02,NA,NA,NA,NA,129,129,0,NA,1,STATE GAMING,D,Special State Funds,1,1,ADMIS TAX BOAT & GAMBLING,78,.,NA,NA,NA
2001,129,492,3,0,.,ADMIS TAX BOAT & GAMBLING,37182304,rev IOC 13.08.02,NA,NA,NA,NA,129,129,0,NA,1,STATE GAMING,D,Special State Funds,1,1,ADMIS TAX BOAT & GAMBLING,78,.,NA,NA,NA
2002,129,492,3,0,.,ADMIS TAX BOAT & GAMBLING,38763170,rev IOC 13.08.02,NA,NA,NA,NA,129,129,0,NA,1,STATE GAMING,D,Special State Funds,1,1,ADMIS TAX BOAT & GAMBLING,78,.,NA,NA,NA
2003,129,492,3,0,.,ADMIS TAX BOAT & GAMBLING,53472064,rev IOC 13.08.02,NA,NA,NA,NA,129,129,0,NA,1,STATE GAMING,D,Special State Funds,1,1,ADMIS TAX BOAT & GAMBLING,78,.,NA,NA,NA
2004,129,492,3,0,.,ADMIS TAX BOAT & GAMBLING,65865745,rev IOC 13.08.02,NA,NA,NA,NA,129,129,0,NA,1,STATE GAMING,D,Special State Funds,1,1,ADMIS TAX BOAT & GAMBLING,78,.,NA,NA,NA
2005,129,492,3,0,.,ADMIS TAX BOAT & GAMBLING,63835060,rev IOC 13.08.02,NA,NA,NA,NA,129,129,0,NA,1,STATE GAMING,D,Special State Funds,1,1,ADMIS TAX BOAT & GAMBLING,78,.,NA,NA,NA
2006,129,492,3,0,.,ADMIS TAX BOAT & GAMBLING,49765567,rev IOC 13.08.02,NA,NA,NA,NA,129,129,0,NA,1,STATE GAMING,D,Special State Funds,1,1,ADMIS TAX BOAT & GAMBLING,78,.,NA,NA,NA
2007,129,492,3,0,9999,ADMIS TAX BOAT & GAMBLING,47872133,rev IOC 13.08.02,NA,NA,NA,NA,129,129,0,NA,1,STATE GAMING,D,Special State Funds,1,1,ADMIS TAX BOAT & GAMBLING,78,.,NA,NA,NA
2008,129,492,3,0,9999,ADMIS TAX BOAT & GAMBLING,47225021,rev IOC 13.08.02,NA,NA,NA,NA,129,129,0,NA,1,STATE GAMING,D,Special State Funds,1,1,ADMIS TAX BOAT & GAMBLING,78,.,NA,NA,NA
2009,129,492,3,0,9999,ADMIS TAX BOAT & GAMBLING,42976993,rev IOC 13.08.02,NA,NA,NA,NA,129,129,0,NA,1,STATE GAMING,D,Special State Funds,1,1,ADMIS TAX BOAT & GAMBLING,78,.,NA,NA,NA
2010,129,565,3,0,9999,ADMIS TAX BOAT & GAMBLING,41268494,rev IOC 13.08.02,NA,NA,NA,NA,129,129,0,NA,1,STATE GAMING,D,Special State Funds,1,1,ADMIS TAX BOAT & GAMBLING,78,.,NA,NA,NA
2011,129,565,3,0,9999,ADMIS TAX BOAT & GAMBLING,38556946,rev IOC 13.08.02,NA,NA,NA,NA,129,129,0,NA,1,STATE GAMING,D,Special State Funds,1,1,ADMIS TAX BOAT & GAMBLING,78,.,NA,NA,NA
2012,129,565,3,0,9999,ADMIS TAX BOAT & GAMBLING,47256404,rev IOC 13.08.02,NA,NA,NA,NA,129,129,0,NA,1,STATE GAMING,D,Special State Funds,1,1,ADMIS TAX BOAT & GAMBLING,78,.,NA,NA,NA
2013,129,565,3,0,9999,ADMIS TAX BOAT & GAMBLING,45526718,rev IOC 13.08.02,NA,NA,NA,NA,129,129,0,NA,1,STATE GAMING,D,Special State Funds,1,1,ADMIS TAX BOAT & GAMBLING,78,.,NA,NA,NA
2014,129,565,3,0,9999,ADMIS TAX BOAT & GAMBLING,40991210,rev IOC 15.09.28,STATE GAMING,ILLINOIS GAMING BOARD,NA,NA,129,129,0,NA,1,STATE GAMING,D,Special State Funds,1,1,ADMIS TAX BOAT & GAMBLING,78,.,NA,NA,NA
2015,129,565,3,0,9999,ADMIS TAX BOAT & GAMBLING,39449665,rev ioc 16.01.07,STATE GAMING,ILLINOIS GAMING BOARD,NA,NA,129,129,0,NA,1,STATE GAMING,D,Special State Funds,1,1,ADMIS TAX BOAT & GAMBLING,78,.,NA,NA,NA
2016,129,565,3,0,9999,ADMIS TAX BOAT & GAMBLING,36767286,rev ioc 16.08.04,STATE GAMING,ILLINOIS GAMING BOARD,NA,NA,129,129,0,NA,1,STATE GAMING,D,Special State Funds,1,1,ADMIS TAX BOAT & GAMBLING,78,.,NA,NA,NA
2017,129,565,3,0,9999,ADMIS TAX BOAT & GAMBLING,34909168,rev ioc 17.11.29,STATE GAMING,ILLINOIS GAMING BOARD,NA,NA,129,129,0,NA,1,STATE GAMING,D,Special State Funds,1,1,ADMIS TAX BOAT & GAMBLING,78,.,NA,NA,NA
2018,129,565,3,0,9999,ADMIS TAX BOAT & GAMBLING,32623936,NA,STATE GAMING,ILLINOIS GAMING BOARD,NA,NA,129,129,0,NA,1,STATE GAMING,D,Special State Funds,1,1,ADMIS TAX BOAT & GAMBLING,78,.,NA,NA,NA
2019,129,565,3,0,9999,ADMIS TAX BOAT & GAMBLING,30792292,rev ioc 12.11.2019,STATE GAMING,ILLINOIS GAMING BOARD,NA,NA,129,129,0,NA,1,STATE GAMING,D,Special State Funds,1,1,ADMIS TAX BOAT & GAMBLING,78,.,NA,NA,NA
2020,129,565,3,0,9999,ADMIS TAX BOAT & GAMBLING,22921636,rev ioc 03.11.2020,STATE GAMING,ILLINOIS GAMING BOARD,NA,NA,129,129,0,NA,1,STATE GAMING,D,Special State Funds,1,1,ADMIS TAX BOAT & GAMBLING,78,.,NA,NA,NA
2021,129,565,3,NA,NA,ADMIS TAX BOAT & GAMBLING,16071828,NA,STATE GAMING,ILLINOIS GAMING BOARD,D,SPECIAL STATE FUNDS,129,129,0,NA,1,STATE GAMING,D,Special State Funds,1,1,ADMIS TAX BOAT & GAMBLING,78,.,NA,NA,NA
2022,129,565,3,NA,NA,ADMIS TAX BOAT & GAMBLING,25461609,NA,STATE GAMING,ILLINOIS GAMING BOARD,NA,NA,129,129,0,NA,1,STATE GAMING,D,Special State Funds,1,1,ADMIS TAX BOAT & GAMBLING,78,.,NA,NA,NA
1998,1,426,4,0,.,"ADULT FIELD SERVICES, DOC",12421.38,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,FIELD/AFTER CARE SERVICES,36,.,NA,NA,NA
1999,1,426,4,0,.,"ADULT FIELD SERVICES, DOC",5015.83,rev_IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,FIELD/AFTER CARE SERVICES,36,.,NA,NA,NA
2000,1,426,4,0,.,"ADULT FIELD SERVICES, DOC",15822.97,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,FIELD/AFTER CARE SERVICES,36,.,NA,NA,NA
2001,1,426,4,0,.,"ADULT FIELD SERVICES, DOC",11030.77,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,FIELD/AFTER CARE SERVICES,36,.,NA,NA,NA
2002,1,426,4,0,.,"ADULT FIELD SERVICES, DOC",15935.71,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,FIELD/AFTER CARE SERVICES,36,.,NA,NA,NA
2003,1,426,4,0,.,"ADULT FIELD SERVICES, DOC",2953.04,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,FIELD/AFTER CARE SERVICES,36,.,NA,NA,NA
2004,1,426,4,0,.,"ADULT FIELD SERVICES, DOC",12588.15,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,FIELD/AFTER CARE SERVICES,36,.,NA,NA,NA
2005,1,426,4,0,.,"ADULT FIELD SERVICES, DOC",2980.33,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,FIELD/AFTER CARE SERVICES,36,.,NA,NA,NA
2006,1,426,4,0,.,"ADULT FIELD SERVICES, DOC",4393.35,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,FIELD/AFTER CARE SERVICES,36,.,NA,NA,NA
2007,1,426,4,0,9999,FIELD/AFTER CARE SERVICES,3782.95,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,FIELD/AFTER CARE SERVICES,36,.,NA,NA,NA
2008,1,426,4,0,9999,FIELD/AFTER CARE SERVICES,1092.9,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,FIELD/AFTER CARE SERVICES,36,.,NA,NA,NA
2009,1,426,4,0,9999,FIELD/AFTER CARE SERVICES,2342.66,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,FIELD/AFTER CARE SERVICES,36,.,NA,NA,NA
2010,1,426,4,0,9999,FIELD/AFTER CARE SERVICES,838.14,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,FIELD/AFTER CARE SERVICES,36,.,NA,NA,NA
2011,1,426,4,0,9999,FIELD/AFTER CARE SERVICES,326.59,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,FIELD/AFTER CARE SERVICES,36,.,NA,NA,NA
2012,1,426,4,0,9999,FIELD/AFTER CARE SERVICES,249.43,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,FIELD/AFTER CARE SERVICES,36,.,NA,NA,NA
2013,1,426,4,0,9999,FIELD/AFTER CARE SERVICES,3575.73,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,FIELD/AFTER CARE SERVICES,36,.,NA,NA,NA
2014,1,426,4,0,9999,FIELD/AFTER CARE SERVICES,9521.53,rev IOC 15.09.28,GENERAL REVENUE,CORRECTIONS,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,FIELD/AFTER CARE SERVICES,36,.,NA,NA,NA
2015,1,426,4,0,9999,FIELD/AFTER CARE SERVICES,3138.78,rev ioc 16.01.07,GENERAL REVENUE,CORRECTIONS,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,FIELD/AFTER CARE SERVICES,36,.,NA,NA,NA
2016,1,426,4,0,9999,FIELD/AFTER CARE SERVICES,6224.11,rev ioc 16.08.04,GENERAL REVENUE,CORRECTIONS,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,FIELD/AFTER CARE SERVICES,36,.,NA,NA,NA
2017,1,426,4,0,9999,FIELD/AFTER CARE SERVICES,6118.78,rev ioc 17.11.29,GENERAL REVENUE,CORRECTIONS,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,FIELD/AFTER CARE SERVICES,36,.,NA,NA,NA
2018,1,426,4,0,9999,FIELD/AFTER CARE SERVICES,23470.61,NA,GENERAL REVENUE,CORRECTIONS,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,FIELD/AFTER CARE SERVICES,36,.,NA,NA,NA
2019,1,426,4,0,9999,FIELD/AFTER CARE SERVICES,7158.51,rev ioc 12.11.2019,GENERAL REVENUE,CORRECTIONS,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,FIELD/AFTER CARE SERVICES,36,.,NA,NA,NA
2020,1,426,4,0,9999,FIELD/AFTER CARE SERVICES,21569.05,rev ioc 03.11.2020,GENERAL REVENUE,CORRECTIONS,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,FIELD/AFTER CARE SERVICES,36,.,NA,NA,NA
2021,1,425,4,NA,NA,FIELD/AFTER CARE SERVICES,470.5,NA,GENERAL REVENUE,JUVENILE JUSTICE,A,GENERAL FUNDS,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,FIELD/AFTER CARE SERVICES,36,.,NA,NA,NA
2021,1,426,4,NA,NA,FIELD/AFTER CARE SERVICES,10197.3,NA,GENERAL REVENUE,CORRECTIONS,A,GENERAL FUNDS,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,FIELD/AFTER CARE SERVICES,36,.,NA,NA,NA
2022,1,426,4,NA,NA,FIELD/AFTER CARE SERVICES,6110.37,NA,GENERAL REVENUE,CORRECTIONS,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,FIELD/AFTER CARE SERVICES,36,.,NA,NA,NA
1998,1,426,5,0,.,CENTRALIA CORRECTIONAL CTR,4514.73,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,CENTRALIA CORRECTIONAL CTR,36,.,NA,NA,NA
1999,1,426,5,0,.,CENTRALIA CORRECTIONAL CTR,5303.93,rev_IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,CENTRALIA CORRECTIONAL CTR,36,.,NA,NA,NA
2000,1,426,5,0,.,CENTRALIA CORRECTIONAL CTR,4651.13,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,CENTRALIA CORRECTIONAL CTR,36,.,NA,NA,NA
2001,1,426,5,0,.,CENTRALIA CORRECTIONAL CTR,4822.81,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,CENTRALIA CORRECTIONAL CTR,36,.,NA,NA,NA
2002,1,426,5,0,.,CENTRALIA CORRECTIONAL CTR,6459.25,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,CENTRALIA CORRECTIONAL CTR,36,.,NA,NA,NA
2003,1,426,5,0,.,CENTRALIA CORRECTIONAL CTR,8824.24,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,CENTRALIA CORRECTIONAL CTR,36,.,NA,NA,NA
2004,1,426,5,0,.,CENTRALIA CORRECTIONAL CTR,3592.95,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,CENTRALIA CORRECTIONAL CTR,36,.,NA,NA,NA
2005,1,426,5,0,.,CENTRALIA CORRECTIONAL CTR,11298.77,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,CENTRALIA CORRECTIONAL CTR,36,.,NA,NA,NA
2006,1,426,5,0,.,CENTRALIA CORRECTIONAL CTR,1926.26,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,CENTRALIA CORRECTIONAL CTR,36,.,NA,NA,NA
2007,1,426,5,0,9999,CENTRALIA CORRECTIONAL CTR,7543.25,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,CENTRALIA CORRECTIONAL CTR,36,.,NA,NA,NA
2008,1,426,5,0,9999,CENTRALIA CORRECTIONAL CTR,574.97,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,CENTRALIA CORRECTIONAL CTR,36,.,NA,NA,NA
2009,1,426,5,0,9999,CENTRALIA CORRECTIONAL CTR,5719.53,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,CENTRALIA CORRECTIONAL CTR,36,.,NA,NA,NA
2010,1,426,5,0,9999,CENTRALIA CORRECTIONAL CTR,458.16,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,CENTRALIA CORRECTIONAL CTR,36,.,NA,NA,NA
2011,1,426,5,0,9999,CENTRALIA CORRECTIONAL CTR,920.64,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,CENTRALIA CORRECTIONAL CTR,36,.,NA,NA,NA
2012,1,426,5,0,9999,CENTRALIA CORRECTIONAL CTR,748.05,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,CENTRALIA CORRECTIONAL CTR,36,.,NA,NA,NA
2013,1,426,5,0,9999,CENTRALIA CORRECTIONAL CTR,2350.92,rev IOC 13.08.02,NA,NA,NA,NA,1,1,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,CENTRALIA CORRECTIONAL CTR,36,.,NA,NA,NA
