"","fy","fund","agency","source","interfund_trans","from_fund","source_name","receipts","data_source","fund_name","agency_name","fund_cat","fund_cat_name.x","fund_ab","fund_ioc","fund_re","a_end","in_ff","fund_name_ab","fund_category","fund_cat_name.y","in_ff_rev","in_ff_exp","source_name_AWM","rev_type","rev_type_name","amnesty","local","type_assigned","rev_type_name_COMPTROLLER","covid_dollars","employee_premiums","rev_type_new"
"1",1998,"0280","579","0001",0,".","ADMISSION TAX",925665,"rev IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"2",1999,"0280","579","0001",0,".","ADMISSION TAX",867212,"rev_IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"3",2000,"0280","579","0001",0,".","ADMISSION TAX",826728,"rev IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"4",2001,"0280","579","0001",0,".","ADMISSION TAX",686884,"rev IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"5",2002,"0280","579","0001",0,".","ADMISSION TAX",717298,"rev IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"6",2003,"0280","579","0001",0,".","ADMISSION TAX",625734,"rev IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"7",2004,"0280","492","0001",0,".","ADMISSION TAX",588621,"rev IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"8",2005,"0280","492","0001",0,".","ADMISSION TAX",504061,"rev IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"9",2006,"0280","492","0001",0,".","ADMISSION TAX",455858.65,"rev IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"10",2007,"0280","492","0001",0,"9999","ADMISSION TAX",620425.95,"rev IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"11",2008,"0280","492","0001",0,"9999","ADMISSION TAX",954420,"rev IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"12",2009,"0280","492","0001",0,"9999","ADMISSION TAX",837250.5,"rev IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"13",2010,"0280","579","0001",0,"9999","ADMISSION TAX",580875,"rev IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"14",2011,"0280","579","0001",0,"9999","ADMISSION TAX",428787.5,"rev IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"15",2012,"0280","579","0001",0,"9999","ADMISSION TAX",352562,"rev IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"16",2013,"0280","579","0001",0,"9999","ADMISSION TAX",15474.57,"rev IOC 13.08.02",NA,NA,NA,NA,"0280","0280","0",NA,"0","IL RACING BOARD GRANT","I","State Trust Funds","0","0","ADMISSION TAX","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"17",1998,"0001","579","0002",0,".","ADMIS TAX-HARNESS RACING",175327.09,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","ADMIS TAX-RACETRACKS","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"18",1999,"0001","579","0002",0,".","ADMIS TAX-HARNESS RACING",131004.83,"rev_IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","ADMIS TAX-RACETRACKS","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"19",2000,"0001","579","0002",0,".","ADMIS TAX-HARNESS RACING",139967.99,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","ADMIS TAX-RACETRACKS","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"20",2001,"0001","579","0002",0,".","ADMIS TAX-HARNESS RACING",137817.81,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","ADMIS TAX-RACETRACKS","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"21",2002,"0001","579","0002",0,".","ADMIS TAX-HARNESS RACING",129887.68,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","ADMIS TAX-RACETRACKS","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"22",2003,"0001","579","0002",0,".","ADMIS TAX-HARNESS RACING",127406.35,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","ADMIS TAX-RACETRACKS","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"23",2004,"0001","492","0002",0,".","ADMIS TAX-HARNESS RACING",125585.85,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","ADMIS TAX-RACETRACKS","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"24",2005,"0001","492","0002",0,".","ADMIS TAX-HARNESS RACING",119899.65,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","ADMIS TAX-RACETRACKS","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"25",2006,"0001","492","0002",0,".","ADMIS TAX-HARNESS RACING",102802.45,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","ADMIS TAX-RACETRACKS","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"26",2007,"0001","492","0002",0,"9999","ADMIS TAX-HARNESS RACING",89044.7,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","ADMIS TAX-RACETRACKS","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"27",2008,"0001","492","0002",0,"9999","ADMIS TAX-HARNESS RACING",81456.7,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","ADMIS TAX-RACETRACKS","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"28",2009,"0001","492","0002",0,"9999","ADMIS TAX-HARNESS RACING",88316.55,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","ADMIS TAX-RACETRACKS","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"29",2010,"0001","579","0002",0,"9999","ADMIS TAX-HARNESS RACING",85768.7,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","ADMIS TAX-RACETRACKS","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"30",2011,"0001","579","0002",0,"9999","ADMIS TAX-HARNESS RACING",76513.35,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","ADMIS TAX-RACETRACKS","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"31",2012,"0001","579","0002",0,"9999","ADMIS TAX-RACETRACKS",78226.5,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","ADMIS TAX-RACETRACKS","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"32",2013,"0001","579","0002",0,"9999","ADMIS TAX-RACETRACKS",27986.25,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","ADMIS TAX-RACETRACKS","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"33",2013,"0632","579","0002",0,"9999","ADMIS TAX-RACETRACKS",52538.25,"rev IOC 13.08.02",NA,NA,NA,NA,"0632","0632","0",NA,"1","HORSE RACING","D","Special State Funds","1","1","ADMIS TAX-RACETRACKS","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"34",2014,"0632","579","0002",0,"9999","ADMIS TAX-RACETRACKS",81261.45,"rev IOC 15.09.28","HORSE RACING","RACING BOARD",NA,NA,"0632","0632","0",NA,"1","HORSE RACING","D","Special State Funds","1","1","ADMIS TAX-RACETRACKS","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"35",2015,"0632","579","0002",0,"9999","ADMIS TAX-RACETRACKS",64131.45,"rev ioc 16.01.07","HORSE RACING","RACING BOARD",NA,NA,"0632","0632","0",NA,"1","HORSE RACING","D","Special State Funds","1","1","ADMIS TAX-RACETRACKS","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"36",2016,"0632","579","0002",0,"9999","ADMIS TAX-RACETRACKS",73480.05,"rev ioc 16.08.04","HORSE RACING","RACING BOARD",NA,NA,"0632","0632","0",NA,"1","HORSE RACING","D","Special State Funds","1","1","ADMIS TAX-RACETRACKS","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"37",2017,"0632","579","0002",0,"9999","ADMIS TAX-RACETRACKS",67610.1,"rev ioc 17.11.29","HORSE RACING","RACING BOARD",NA,NA,"0632","0632","0",NA,"1","HORSE RACING","D","Special State Funds","1","1","ADMIS TAX-RACETRACKS","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"38",2018,"0632","579","0002",0,"9999","ADMIS TAX-RACETRACKS",65303.29,NA,"HORSE RACING","RACING BOARD",NA,NA,"0632","0632","0",NA,"1","HORSE RACING","D","Special State Funds","1","1","ADMIS TAX-RACETRACKS","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"39",2019,"0632","579","0002",0,"9999","ADMIS TAX-RACETRACKS",51366.45,"rev ioc 12.11.2019","HORSE RACING","RACING BOARD",NA,NA,"0632","0632","0",NA,"1","HORSE RACING","D","Special State Funds","1","1","ADMIS TAX-RACETRACKS","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"40",2020,"0632","579","0002",0,"9999","ADMIS TAX-RACETRACKS",47895.25,"rev ioc 03.11.2020","HORSE RACING","RACING BOARD",NA,NA,"0632","0632","0",NA,"1","HORSE RACING","D","Special State Funds","1","1","ADMIS TAX-RACETRACKS","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"41",2021,"0632","579","0002",NA,NA,"ADMIS TAX-RACETRACKS",10090.5,NA,"HORSE RACING","RACING BOARD","D","SPECIAL STATE FUNDS","0632","0632","0",NA,"1","HORSE RACING","D","Special State Funds","1","1","ADMIS TAX-RACETRACKS","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"42",2022,"0632","579","0002",NA,NA,"ADMIS TAX-RACETRACKS",66845.85,NA,"HORSE RACING","RACING BOARD",NA,NA,"0632","0632","0",NA,"1","HORSE RACING","D","Special State Funds","1","1","ADMIS TAX-RACETRACKS","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"43",1998,"0129","492","0003",0,".","ADMIS TAX BOAT & GAMBLING",49278616,"rev IOC 13.08.02",NA,NA,NA,NA,"0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","ADMIS TAX BOAT & GAMBLING","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"44",1999,"0129","492","0003",0,".","ADMIS TAX BOAT & GAMBLING",51207848,"rev_IOC 13.08.02",NA,NA,NA,NA,"0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","ADMIS TAX BOAT & GAMBLING","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"45",2000,"0129","492","0003",0,".","ADMIS TAX BOAT & GAMBLING",38244996,"rev IOC 13.08.02",NA,NA,NA,NA,"0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","ADMIS TAX BOAT & GAMBLING","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"46",2001,"0129","492","0003",0,".","ADMIS TAX BOAT & GAMBLING",37182304,"rev IOC 13.08.02",NA,NA,NA,NA,"0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","ADMIS TAX BOAT & GAMBLING","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"47",2002,"0129","492","0003",0,".","ADMIS TAX BOAT & GAMBLING",38763170,"rev IOC 13.08.02",NA,NA,NA,NA,"0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","ADMIS TAX BOAT & GAMBLING","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"48",2003,"0129","492","0003",0,".","ADMIS TAX BOAT & GAMBLING",53472064,"rev IOC 13.08.02",NA,NA,NA,NA,"0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","ADMIS TAX BOAT & GAMBLING","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"49",2004,"0129","492","0003",0,".","ADMIS TAX BOAT & GAMBLING",65865745,"rev IOC 13.08.02",NA,NA,NA,NA,"0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","ADMIS TAX BOAT & GAMBLING","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"50",2005,"0129","492","0003",0,".","ADMIS TAX BOAT & GAMBLING",63835060,"rev IOC 13.08.02",NA,NA,NA,NA,"0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","ADMIS TAX BOAT & GAMBLING","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"51",2006,"0129","492","0003",0,".","ADMIS TAX BOAT & GAMBLING",49765567,"rev IOC 13.08.02",NA,NA,NA,NA,"0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","ADMIS TAX BOAT & GAMBLING","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"52",2007,"0129","492","0003",0,"9999","ADMIS TAX BOAT & GAMBLING",47872133,"rev IOC 13.08.02",NA,NA,NA,NA,"0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","ADMIS TAX BOAT & GAMBLING","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"53",2008,"0129","492","0003",0,"9999","ADMIS TAX BOAT & GAMBLING",47225021,"rev IOC 13.08.02",NA,NA,NA,NA,"0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","ADMIS TAX BOAT & GAMBLING","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"54",2009,"0129","492","0003",0,"9999","ADMIS TAX BOAT & GAMBLING",42976993,"rev IOC 13.08.02",NA,NA,NA,NA,"0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","ADMIS TAX BOAT & GAMBLING","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"55",2010,"0129","565","0003",0,"9999","ADMIS TAX BOAT & GAMBLING",41268494,"rev IOC 13.08.02",NA,NA,NA,NA,"0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","ADMIS TAX BOAT & GAMBLING","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"56",2011,"0129","565","0003",0,"9999","ADMIS TAX BOAT & GAMBLING",38556946,"rev IOC 13.08.02",NA,NA,NA,NA,"0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","ADMIS TAX BOAT & GAMBLING","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"57",2012,"0129","565","0003",0,"9999","ADMIS TAX BOAT & GAMBLING",47256404,"rev IOC 13.08.02",NA,NA,NA,NA,"0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","ADMIS TAX BOAT & GAMBLING","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"58",2013,"0129","565","0003",0,"9999","ADMIS TAX BOAT & GAMBLING",45526718,"rev IOC 13.08.02",NA,NA,NA,NA,"0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","ADMIS TAX BOAT & GAMBLING","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"59",2014,"0129","565","0003",0,"9999","ADMIS TAX BOAT & GAMBLING",40991210,"rev IOC 15.09.28","STATE GAMING","ILLINOIS GAMING BOARD",NA,NA,"0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","ADMIS TAX BOAT & GAMBLING","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"60",2015,"0129","565","0003",0,"9999","ADMIS TAX BOAT & GAMBLING",39449665,"rev ioc 16.01.07","STATE GAMING","ILLINOIS GAMING BOARD",NA,NA,"0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","ADMIS TAX BOAT & GAMBLING","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"61",2016,"0129","565","0003",0,"9999","ADMIS TAX BOAT & GAMBLING",36767286,"rev ioc 16.08.04","STATE GAMING","ILLINOIS GAMING BOARD",NA,NA,"0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","ADMIS TAX BOAT & GAMBLING","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"62",2017,"0129","565","0003",0,"9999","ADMIS TAX BOAT & GAMBLING",34909168,"rev ioc 17.11.29","STATE GAMING","ILLINOIS GAMING BOARD",NA,NA,"0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","ADMIS TAX BOAT & GAMBLING","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"63",2018,"0129","565","0003",0,"9999","ADMIS TAX BOAT & GAMBLING",32623936,NA,"STATE GAMING","ILLINOIS GAMING BOARD",NA,NA,"0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","ADMIS TAX BOAT & GAMBLING","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"64",2019,"0129","565","0003",0,"9999","ADMIS TAX BOAT & GAMBLING",30792292,"rev ioc 12.11.2019","STATE GAMING","ILLINOIS GAMING BOARD",NA,NA,"0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","ADMIS TAX BOAT & GAMBLING","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"65",2020,"0129","565","0003",0,"9999","ADMIS TAX BOAT & GAMBLING",22921636,"rev ioc 03.11.2020","STATE GAMING","ILLINOIS GAMING BOARD",NA,NA,"0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","ADMIS TAX BOAT & GAMBLING","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"66",2021,"0129","565","0003",NA,NA,"ADMIS TAX BOAT & GAMBLING",16071828,NA,"STATE GAMING","ILLINOIS GAMING BOARD","D","SPECIAL STATE FUNDS","0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","ADMIS TAX BOAT & GAMBLING","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"67",2022,"0129","565","0003",NA,NA,"ADMIS TAX BOAT & GAMBLING",25461609,NA,"STATE GAMING","ILLINOIS GAMING BOARD",NA,NA,"0129","0129","0",NA,"1","STATE GAMING","D","Special State Funds","1","1","ADMIS TAX BOAT & GAMBLING","78","All Other Sources",NA,NA,NA,"ALL OTHER SOURCES",0,0,"78"
"68",1998,"0001","426","0004",0,".","ADULT FIELD SERVICES, DOC",12421.38,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","FIELD/AFTER CARE SERVICES","36","RECEIPTS FROM REVENUE PRODUCNG",NA,NA,NA,"RECEIPTS FROM REVENUE PRODUCNG",0,0,"36"
"69",1999,"0001","426","0004",0,".","ADULT FIELD SERVICES, DOC",5015.83,"rev_IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","FIELD/AFTER CARE SERVICES","36","RECEIPTS FROM REVENUE PRODUCNG",NA,NA,NA,"RECEIPTS FROM REVENUE PRODUCNG",0,0,"36"
"70",2000,"0001","426","0004",0,".","ADULT FIELD SERVICES, DOC",15822.97,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","FIELD/AFTER CARE SERVICES","36","RECEIPTS FROM REVENUE PRODUCNG",NA,NA,NA,"RECEIPTS FROM REVENUE PRODUCNG",0,0,"36"
"71",2001,"0001","426","0004",0,".","ADULT FIELD SERVICES, DOC",11030.77,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","FIELD/AFTER CARE SERVICES","36","RECEIPTS FROM REVENUE PRODUCNG",NA,NA,NA,"RECEIPTS FROM REVENUE PRODUCNG",0,0,"36"
"72",2002,"0001","426","0004",0,".","ADULT FIELD SERVICES, DOC",15935.71,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","FIELD/AFTER CARE SERVICES","36","RECEIPTS FROM REVENUE PRODUCNG",NA,NA,NA,"RECEIPTS FROM REVENUE PRODUCNG",0,0,"36"
"73",2003,"0001","426","0004",0,".","ADULT FIELD SERVICES, DOC",2953.04,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","FIELD/AFTER CARE SERVICES","36","RECEIPTS FROM REVENUE PRODUCNG",NA,NA,NA,"RECEIPTS FROM REVENUE PRODUCNG",0,0,"36"
"74",2004,"0001","426","0004",0,".","ADULT FIELD SERVICES, DOC",12588.15,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","FIELD/AFTER CARE SERVICES","36","RECEIPTS FROM REVENUE PRODUCNG",NA,NA,NA,"RECEIPTS FROM REVENUE PRODUCNG",0,0,"36"
"75",2005,"0001","426","0004",0,".","ADULT FIELD SERVICES, DOC",2980.33,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","FIELD/AFTER CARE SERVICES","36","RECEIPTS FROM REVENUE PRODUCNG",NA,NA,NA,"RECEIPTS FROM REVENUE PRODUCNG",0,0,"36"
"76",2006,"0001","426","0004",0,".","ADULT FIELD SERVICES, DOC",4393.35,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","FIELD/AFTER CARE SERVICES","36","RECEIPTS FROM REVENUE PRODUCNG",NA,NA,NA,"RECEIPTS FROM REVENUE PRODUCNG",0,0,"36"
"77",2007,"0001","426","0004",0,"9999","FIELD/AFTER CARE SERVICES",3782.95,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","FIELD/AFTER CARE SERVICES","36","RECEIPTS FROM REVENUE PRODUCNG",NA,NA,NA,"RECEIPTS FROM REVENUE PRODUCNG",0,0,"36"
"78",2008,"0001","426","0004",0,"9999","FIELD/AFTER CARE SERVICES",1092.9,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","FIELD/AFTER CARE SERVICES","36","RECEIPTS FROM REVENUE PRODUCNG",NA,NA,NA,"RECEIPTS FROM REVENUE PRODUCNG",0,0,"36"
"79",2009,"0001","426","0004",0,"9999","FIELD/AFTER CARE SERVICES",2342.66,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","FIELD/AFTER CARE SERVICES","36","RECEIPTS FROM REVENUE PRODUCNG",NA,NA,NA,"RECEIPTS FROM REVENUE PRODUCNG",0,0,"36"
"80",2010,"0001","426","0004",0,"9999","FIELD/AFTER CARE SERVICES",838.14,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","FIELD/AFTER CARE SERVICES","36","RECEIPTS FROM REVENUE PRODUCNG",NA,NA,NA,"RECEIPTS FROM REVENUE PRODUCNG",0,0,"36"
"81",2011,"0001","426","0004",0,"9999","FIELD/AFTER CARE SERVICES",326.59,"rev IOC 13.08.02",NA,NA,NA,NA,"0001","0001","0",NA,"1","GENERAL REVENUE","A","General Funds","1","1","FIELD/AFTER CARE SERVICES","36","RECEIPTS FROM REVENUE PRODUCNG",NA,NA,NA,"RECEIPTS FROM REVENUE PRODUCNG",0,0,"36"
